"INCIDENT_KEY","VICTIM_ID","VICTIM_AGE_GROUP","VICTIM_SEX","VICTIM_RACE","STAT_MURDER_FLG"
"16895005","16895005-9160","25-44","FEMALE","BLACK","N"
"16895043","16895043-9147","25-44","MALE","BLACK","Y"
"23354048","23354048-9157","25-44","MALE","BLACK","N"
"23354057","23354057-9169","18-24","MALE","WHITE HISPANIC","N"
"23354058","23354058-9170","18-24","MALE","BLACK","N"
"23354081","23354081-9204","45-64","MALE","BLACK","Y"
"23354123","23354123-9264","25-44","MALE","BLACK","Y"
"23354124","23354124-9265","18-24","MALE","WHITE HISPANIC","N"
"23354130","23354130-9272","18-24","MALE","WHITE HISPANIC","N"
"23354130","23354130-9273","<18","FEMALE","BLACK","N"
"23421774","23421774-9319","25-44","MALE","BLACK","Y"
"23650223","23650223-9549","18-24","MALE","BLACK","N"
"23665375","23665375-9562","18-24","MALE","BLACK","N"
"23872824","23872824-9714","<18","MALE","BLACK","N"
"23872824","23872824-9715","25-44","MALE","BLACK","N"
"23945310","23945310-9762","25-44","MALE","BLACK","N"
"23945314","23945314-9768","18-24","FEMALE","BLACK","N"
"23945314","23945314-9769","25-44","MALE","BLACK","N"
"23945314","23945314-9770","25-44","MALE","BLACK HISPANIC","N"
"23957541","23957541-9779","25-44","FEMALE","BLACK","N"
"23957541","23957541-9780","25-44","MALE","BLACK","N"
"23974385","23974385-9793","45-64","MALE","BLACK","Y"
"24050477","24050477-9835","<18","MALE","WHITE HISPANIC","N"
"24129967","24129967-9907","25-44","FEMALE","BLACK HISPANIC","N"
"24129967","24129967-9914","<18","MALE","BLACK","N"
"24202180","24202180-9961","65+","MALE","BLACK","Y"
"24236344","24236344-9974","18-24","MALE","WHITE HISPANIC","N"
"24236346","24236346-9978","25-44","MALE","BLACK","N"
"24248676","24248676-9985","<18","MALE","WHITE HISPANIC","N"
"24320685","24320685-10023","18-24","MALE","BLACK","N"
"24347269","24347269-10034","25-44","MALE","BLACK","N"
"24347269","24347269-10039","18-24","MALE","BLACK","N"
"24360989","24360989-10050","18-24","MALE","BLACK","Y"
"24360989","24360989-10051","25-44","MALE","BLACK","N"
"24378763","24378763-10059","18-24","MALE","BLACK","N"
"24378765","24378765-10061","18-24","MALE","BLACK","N"
"24378767","24378767-10063","<18","MALE","BLACK","N"
